id,name_cn,name_jp,name_en,grade,ms_number,series,subcategory,price_jp_msrp,price_jp_market,price_us_msrp,price_us_market,price_cn_msrp,price_cn_market,created_at,updated_at
1,PG,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.172267,2026-01-12 05:03:18.562569
2,MG,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.182929,2026-01-12 05:03:18.579721
3,RE/100,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.183683,2026-01-12 05:03:18.587135
4,RG,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.184297,2026-01-12 05:03:18.594287
5,HGUC,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.184820,2026-01-12 05:03:18.601423
6,HGGTO,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.185305,2026-01-12 05:03:18.608395
7,HGBF/BD,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.185781,2026-01-12 05:03:18.615353
8,SDCS,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.186241,2026-01-12 05:03:18.622286
9,MB,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.186706,2026-01-12 05:03:18.629358
10,MR魂,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.187086,2026-01-12 05:03:18.636321
11,FIX,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.194477,2026-01-12 05:03:18.643401
12,R魂,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.195725,2026-01-12 05:03:18.650610
13,GU,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.196295,2026-01-12 05:03:18.657932
14,FW食玩,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.196859,2026-01-12 05:03:18.665009
15,G-FRAME,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.197374,2026-01-12 05:03:18.672163
16,MSE,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.197870,2026-01-12 05:03:18.679158
17,30MM,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.198353,2026-01-12 05:03:18.686336
18,万代机甲,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.198827,2026-01-12 05:03:18.693291
19,万代人形,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.199299,2026-01-12 05:03:18.700246
20,超合金魂,,,RG,,RG系列拼装模型,普通版,5500.0,,36.85,,275.0,,2026-01-12 03:40:06.199686,2026-01-12 05:03:18.707213
